Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Female,26,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,50,Postpaid,LV,3,3,50,4,0,0,,0,0,,0,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,29,Prepaid,VLV,5,4,125,10,1,1,,1,1,1,1,,1,1
Mobily,Other,Others,Expat Arabs,Male,32,Prepaid,VLV,5,3,100,10,1,1,,1,1,,1,,,1
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,30,Prepaid,MV,4,4,100,10,1,1,,1,1,,1,,,1
Mobily,JEDDAH,Western,Nationals,Male,20,Prepaid,VLV,3,3,50,8,0,0,,0,1,0,1,,,1
Mobily,AL KHUBAR,Eastern,Nationals,Female,30,Prepaid,VLV,4,4,100,8,0,1,,1,1,,0,,,
Mobily,Other,Others,Nationals,Female,23,Prepaid,VLV,4,2,50,5,0,1,,0,0,,1,,,1
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,56,Prepaid,VLV,5,4,125,7,0,0,,1,0,,1,,,0
Mobily,YANBU AN NAKHL,Northern,Nationals,Male,25,Prepaid,LV,2,3,25,6,0,0,,0,0,,0,,,
Mobily,JEDDAH,Western,Expat Asians,Male,40,Prepaid,VLV,3,4,75,6,0,0,,0,0,,0,,,
Mobily,AT TAIF,Western,Nationals,Female,50,Prepaid,LV,5,4,125,10,1,1,,1,1,,1,,,
Mobily,Other,Others,Expat Arabs,Male,32,Prepaid,VLV,3,1,0,6,0,0,,0,0,,0,0,,
Mobily,Other,Others,Nationals,Male,43,Prepaid,VLV,4,3,75,8,0,0,,1,1,1,1,0,,
Mobily,JEDDAH,Western,Expat Arabs,Male,36,Prepaid,LV,4,3,75,8,0,1,,1,1,,0,,1,1
Mobily,AT TAIF,Western,Expat Arabs,Male,48,Prepaid,LV,4,4,100,10,1,1,,1,1,,1,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,58,Postpaid,MV,2,3,25,7,0,0,,0,1,,0,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Postpaid,LV,4,3,75,,,1,,1,1,1,0,,,
Mobily,AL HUFUF,Eastern,Nationals,Male,38,Postpaid,LV,3,4,75,8,0,0,,0,1,0,1,0,0,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,34,Prepaid,VLV,2,2,0,7,0,0,,0,0,1,1,1,1,
Mobily,Other,Others,Expat Arabs,Male,35,Prepaid,VLV,5,4,125,9,1,1,,0,1,,1,,,
Mobily,AL KHUBAR,Eastern,Nationals,Male,38,Postpaid,MV,4,3,75,10,1,0,,1,1,,1,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,28,Postpaid,VHV,5,5,150,,,0,,0,1,,1,1,,
Mobily,BURAYDAH,Central,Nationals,Male,23,Postpaid,LV,1,3,0,10,1,1,,0,0,0,0,,,0
Mobily,AR RIYADH,Central,Expat Arabs,Male,33,Prepaid,VLV,4,3,75,4,0,0,,0,0,,0,0,0,0
Mobily,TABUK,Northern,Nationals,Female,43,Postpaid,HV,4,5,125,8,0,1,,1,1,1,1,1,1,1
Mobily,JEDDAH,Western,Expat Arabs,Male,55,Prepaid,VLV,3,3,50,7,0,,,,1,,,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,34,Postpaid,LV,5,5,150,5,0,1,,1,1,,1,,1,
Mobily,JIZAN,South,Nationals,Male,30,Prepaid,VLV,2,3,25,0,0,0,,0,1,,0,,,
Mobily,JEDDAH,Western,Nationals,Female,59,Postpaid,MV,4,3,75,8,0,1,,,1,,0,0,,
Mobily,TABUK,Northern,Expat Arabs,Male,35,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,1,1,1
Mobily,AR RIYADH,Central,Nationals,Male,31,Postpaid,VHV,5,3,100,10,1,0,,0,1,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,32,Postpaid,HV,2,3,25,3,0,0,,0,0,,0,0,,0
Mobily,HAIL,Northern,Expat Arabs,Male,40,Postpaid,VLV,4,5,125,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,50,Postpaid,LV,5,5,150,10,1,1,,1,1,1,1,1,1,
Mobily,JEDDAH,Western,Expat Arabs,Male,45,Prepaid,VLV,5,5,150,10,1,0,,0,1,,1,0,,
Mobily,AR RIYADH,Central,Nationals,Female,19,Prepaid,VLV,5,5,150,10,1,1,,1,1,1,1,1,1,
Mobily,AT TAIF,Western,Nationals,Male,35,Prepaid,LV,4,4,100,10,1,1,,1,1,1,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,30,Postpaid,VLV,4,2,50,7,0,0,,0,0,,0,0,0,
Mobily,JEDDAH,Western,Expat Arabs,Male,34,Prepaid,VLV,2,2,0,0,0,0,,0,1,,0,,0,0
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,27,Prepaid,LV,3,4,75,10,1,1,,1,1,,0,,,
Mobily,HAIL,Northern,Expat Arabs,Male,31,Prepaid,VLV,,4,50,9,1,1,,0,1,1,0,1,,
Mobily,AR RIYADH,Central,Nationals,Female,37,Postpaid,LV,4,4,100,8,0,0,,0,1,,0,1,0,
Mobily,Other,Others,Nationals,Female,35,Postpaid,MV,4,3,75,8,0,0,,0,0,,0,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,37,Prepaid,HV,3,1,0,,,0,,,0,1,0,0,,
Mobily,KHAMIS MUSHAYT,South,Expat Arabs,Male,30,Prepaid,LV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,YANBU AL BAHAR,Northern,Nationals,Female,51,Postpaid,LV,1,3,0,,,1,,0,0,1,1,1,,
Mobily,AL HUFUF,Eastern,Nationals,Male,20,Prepaid,LV,5,5,150,10,1,1,,1,1,1,1,1,1,1
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,56,Prepaid,VLV,5,5,150,9,1,1,,1,0,1,1,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,51,Prepaid,LV,5,,75,7,0,1,,1,1,0,0,,0,0
Mobily,AD DAMMAM,Eastern,Nationals,Male,40,Postpaid,VLV,3,3,50,5,0,1,,1,0,,1,,1,
Mobily,JEDDAH,Western,Expat Arabs,Male,28,Postpaid,HV,,2,0,10,1,1,,0,0,1,1,0,,1
Mobily,JEDDAH,Western,Nationals,Male,40,Prepaid,VHV,3,2,25,8,0,0,,0,0,0,0,0,0,
Mobily,AR RIYADH,Central,Nationals,Male,37,Prepaid,VLV,3,2,25,7,0,0,,0,0,,0,0,0,0
Mobily,AD DAMMAM,Eastern,Nationals,Male,32,Prepaid,VLV,3,3,50,9,1,0,,0,0,,0,0,,0
Mobily,AR RIYADH,Central,Nationals,Male,60,Prepaid,VLV,5,5,150,8,0,1,,0,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,43,Prepaid,VHV,5,5,150,10,1,0,,1,0,1,1,,,
Mobily,YANBU AN NAKHL,Northern,Nationals,Male,25,Postpaid,HV,4,3,75,6,0,1,,1,1,,1,1,1,
Mobily,TABUK,Northern,Expat Arabs,Male,35,Postpaid,VHV,3,3,50,,,0,,0,0,0,1,,,0
Mobily,JEDDAH,Western,Nationals,Male,60,Postpaid,VHV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,24,Prepaid,VLV,3,3,50,7,0,0,,0,0,,0,,,
Mobily,JEDDAH,Western,Nationals,Female,22,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,,1,1
Mobily,Other,Others,Expat Asians,Male,48,Prepaid,VLV,4,4,100,8,0,0,0,,0,0,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,39,Postpaid,VLV,5,5,150,7,0,1,,0,0,,1,,0,
Mobily,AL KHUBAR,Eastern,Nationals,Male,39,Postpaid,LV,,1,-25,8,0,0,,,0,0,0,,,0
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,39,Postpaid,VLV,1,1,-50,2,0,0,,0,0,,0,0,0,
Mobily,AR RIYADH,Central,Nationals,Male,26,Postpaid,HV,5,5,150,7,0,1,,0,0,,0,,,
Mobily,AL KHUBAR,Eastern,Nationals,Female,16,Postpaid,VLV,4,3,75,6,0,1,,0,0,,0,,1,0
Mobily,Other,Others,Nationals,Male,34,Postpaid,LV,4,3,75,7,0,0,,0,0,,0,,,
Mobily,AD DAMMAM,Eastern,Nationals,Male,65,Postpaid,MV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,53,Postpaid,LV,5,5,150,10,1,0,,1,1,,1,,1,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,60,Postpaid,LV,5,5,150,10,1,,,1,1,1,1,1,1,
Mobily,AL KHUBAR,Eastern,Nationals,Male,21,Prepaid,VLV,4,4,100,9,1,1,,1,1,,1,,,1
Mobily,AR RIYADH,Central,Expat Asians,Male,26,Prepaid,VLV,5,5,150,10,1,1,,1,1,1,1,1,1,
Mobily,AR RIYADH,Central,Nationals,Male,34,Prepaid,VLV,1,1,-50,,,0,,0,0,,0,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Female,40,Prepaid,VLV,5,4,125,10,1,0,,0,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,25,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,,1,1
Mobily,AD DAMMAM,Eastern,Expat Asians,Male,44,Postpaid,VHV,4,3,75,,,0,,,1,,1,,,
Mobily,AL JUBAIL,Eastern,Expat Asians,Male,54,Postpaid,VLV,4,4,100,9,1,0,,1,0,,1,,1,1
Mobily,AT TAIF,Western,Nationals,Male,30,Prepaid,VLV,1,1,-50,1,0,0,,0,0,0,0,,0,
Mobily,AR RIYADH,Central,Expat Arabs,Male,27,Prepaid,VLV,5,5,150,9,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,32,Postpaid,LV,1,1,-50,0,0,0,,1,0,,1,,,
Mobily,YANBU AN NAKHL,Northern,Expat Arabs,Male,25,Prepaid,LV,5,3,100,10,1,1,,1,1,1,1,,,
Mobily,AD DAMMAM,Eastern,Nationals,Male,60,Postpaid,LV,1,4,25,7,0,0,,0,0,,0,,0,
Mobily,AL QATIF,Eastern,Nationals,Male,21,Prepaid,LV,5,5,150,10,1,1,,1,1,1,1,1,1,1
Mobily,JEDDAH,Western,Nationals,Male,36,Prepaid,MV,5,5,150,10,1,1,,1,1,,1,,1,
Mobily,AL JUBAIL,Eastern,Expat Arabs,Male,30,Prepaid,VLV,3,2,25,10,1,1,,1,1,1,1,,,
Mobily,AL JUBAIL,Eastern,Nationals,Male,28,Postpaid,VLV,1,3,0,5,0,0,,,0,,1,,,
Mobily,Other,Others,Nationals,Male,40,Prepaid,VLV,2,2,0,10,1,1,,1,0,0,0,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,29,Prepaid,LV,5,5,150,10,1,1,,1,1,1,1,1,1,1
Mobily,AR RIYADH,Central,Expat Arabs,Male,28,Prepaid,VLV,5,,75,10,1,1,,1,1,,1,,,
Mobily,AL KHUBAR,Eastern,Nationals,Female,24,Postpaid,VLV,5,2,75,8,0,0,,0,0,,0,0,,0
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Prepaid,VLV,5,5,150,10,1,1,1,1,1,1,1,1,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,38,Prepaid,VLV,4,2,50,5,0,0,,0,0,,0,0,0,0
Mobily,JEDDAH,Western,Expat Arabs,Male,32,Postpaid,MV,4,3,75,8,0,0,,0,0,,0,,0,
Mobily,HAIL,Northern,Expat Arabs,Male,43,Postpaid,LV,5,5,150,10,1,1,,1,1,1,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Prepaid,VLV,4,4,100,8,0,1,1,1,1,0,1,1,1,
Mobily,AD DAMMAM,Eastern,Nationals,Male,21,Postpaid,LV,4,3,75,10,1,0,,1,1,1,0,0,1,
Mobily,JEDDAH,Western,Nationals,Female,20,Prepaid,VLV,5,5,150,8,0,0,,1,1,,0,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,28,Postpaid,LV,5,5,150,8,0,1,,1,1,,1,1,1,
Mobily,AD DAMMAM,Eastern,Nationals,Female,25,Postpaid,LV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,JEDDAH,Western,Nationals,Male,32,Prepaid,LV,4,3,75,8,0,1,,1,0,1,0,,,
Mobily,HAFAR AL BATIN,Eastern,Nationals,Male,38,Prepaid,VLV,3,2,25,5,0,0,,0,0,,0,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,45,Postpaid,VHV,5,4,125,10,1,1,,1,0,,1,,1,
Mobily,JEDDAH,Western,Nationals,Female,24,Postpaid,LV,4,1,25,7,0,0,,0,0,1,0,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,47,Prepaid,VLV,4,4,100,10,1,0,,0,1,,,,,
Mobily,AR RIYADH,Central,Expat Arabs,Female,38,Postpaid,VLV,5,,75,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,34,Prepaid,LV,3,3,50,4,0,0,,0,0,,0,,,
Mobily,AR RIYADH,Central,Nationals,Female,40,Prepaid,LV,5,3,100,10,1,1,,1,1,,1,,,
Mobily,AT TAIF,Western,Expat Arabs,Male,33,Prepaid,MV,3,3,50,1,0,0,,0,0,,0,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,26,Prepaid,VLV,5,5,150,9,1,1,,0,0,,0,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Female,40,Prepaid,VLV,4,3,75,7,0,0,,0,0,,1,0,0,0
Mobily,AR RIYADH,Central,Expat Arabs,Male,57,Prepaid,VLV,2,2,0,,,0,,0,0,,0,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,37,Prepaid,VLV,5,3,100,10,1,1,,1,1,,1,0,1,
Mobily,JEDDAH,Western,Expat Arabs,Male,45,Prepaid,MV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,64,Postpaid,MV,4,2,50,5,0,,,1,1,,0,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,39,Prepaid,VLV,5,4,125,1,0,1,,1,1,,1,0,0,
Mobily,TABUK,Northern,Nationals,Male,40,Prepaid,VLV,2,2,0,5,0,0,,0,1,,0,,,
Mobily,JEDDAH,Western,Nationals,Male,38,Postpaid,VLV,5,4,125,6,0,0,0,0,0,1,1,,,
Mobily,Other,Others,Nationals,Female,27,Postpaid,MV,4,3,75,10,1,1,,0,1,,0,1,,
Mobily,AR RIYADH,Central,Nationals,Male,34,Postpaid,HV,4,4,100,10,1,1,,1,1,1,1,1,1,
Mobily,AR RIYADH,Central,Expat Arabs,Male,50,Postpaid,VLV,3,3,50,0,0,0,,0,0,,0,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,23,Prepaid,VLV,4,2,50,10,1,1,,1,1,1,0,,,
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,26,Prepaid,LV,4,3,75,10,1,1,,0,1,,1,,,
Mobily,BURAYDAH,Central,Nationals,Male,30,Postpaid,HV,3,3,50,7,0,0,,0,1,,0,,,
Mobily,Other,Others,Nationals,Male,22,Postpaid,VHV,3,3,50,9,1,0,,0,0,,0,,1,1
Mobily,AR RIYADH,Central,Expat Arabs,Male,36,Prepaid,VLV,4,4,100,8,0,1,,1,1,,,,,
Mobily,Other,Others,Nationals,Male,63,Postpaid,VHV,5,5,150,10,1,1,,1,1,1,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,28,Prepaid,VLV,5,3,100,0,0,1,1,0,1,1,1,,,
Mobily,JEDDAH,Western,Nationals,Male,24,Prepaid,VLV,3,4,75,5,0,0,,0,0,1,0,,0,
Mobily,Other,Others,Nationals,Female,40,Postpaid,MV,3,3,50,10,1,0,,1,0,,1,,,
Mobily,NAJRAN,South,Expat Arabs,Male,25,Prepaid,VLV,3,3,50,10,1,0,,0,0,0,0,,,0
Mobily,BAYSH,South,Expat Arabs,Male,40,Prepaid,MV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,32,Postpaid,VLV,5,5,150,10,1,1,,1,1,,1,1,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,29,Prepaid,VLV,2,3,25,6,0,0,,1,1,1,1,,1,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,22,Prepaid,VLV,5,5,150,5,0,1,,1,0,1,1,0,0,1
Mobily,AR RIYADH,Central,Nationals,Female,26,Postpaid,VLV,5,5,150,9,1,1,,1,1,,1,,,1
Mobily,Other,Others,Nationals,Male,34,Prepaid,VLV,4,2,50,10,1,0,,1,0,,0,0,,
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Prepaid,LV,5,5,150,10,1,1,,1,1,,1,1,,
Mobily,BURAYDAH,Central,Nationals,Male,39,Postpaid,LV,3,1,0,4,0,0,,,0,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,21,Postpaid,LV,3,5,100,6,0,1,,1,0,,1,,1,
Mobily,JEDDAH,Western,Nationals,Female,30,Prepaid,VLV,4,1,25,10,1,1,,1,0,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Female,34,Prepaid,VLV,4,5,125,9,1,0,,0,1,0,0,,,
Mobily,AR RIYADH,Central,Nationals,Female,41,Prepaid,VLV,5,5,150,10,1,1,,1,1,1,1,1,,1
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,50,Postpaid,VHV,5,5,150,10,1,1,,0,1,1,0,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,45,Prepaid,VLV,3,3,50,7,0,0,,0,0,,0,0,,
Mobily,AL KHUBAR,Eastern,Nationals,Male,38,Postpaid,VHV,3,1,0,1,0,0,,0,0,,0,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,26,Postpaid,HV,4,4,100,7,0,0,,0,1,1,1,0,0,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,35,Prepaid,LV,5,4,125,0,0,1,,1,1,1,0,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,33,Prepaid,HV,4,4,100,10,1,1,,1,1,,1,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Female,36,Postpaid,VHV,4,3,75,10,1,0,,0,,,1,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,43,Prepaid,LV,3,1,0,8,0,0,,0,0,,1,,,
Mobily,SAKAKA,Northern,Nationals,Male,26,Prepaid,VLV,5,5,150,0,0,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,29,Prepaid,VLV,5,4,125,9,1,1,,0,1,,1,,,1
Mobily,AL BUKAYRIYAH,Central,Expat Arabs,Male,30,Prepaid,VLV,2,5,75,10,1,1,,0,0,1,0,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,24,Postpaid,VHV,5,5,150,8,0,1,,1,1,1,1,1,1,
Mobily,JEDDAH,Western,Expat Arabs,Female,34,Postpaid,VLV,1,2,-25,0,0,0,,1,1,1,0,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,VHV,3,4,75,8,0,1,1,1,0,1,0,0,0,
Mobily,AR RIYADH,Central,Nationals,Male,30,Postpaid,VHV,3,3,50,6,0,0,,0,0,0,0,0,0,0
Mobily,AR RIYADH,Central,Expat Arabs,Male,52,Prepaid,VLV,3,4,75,10,1,0,,0,1,,1,,,
Mobily,AL KHUBAR,Eastern,Nationals,Male,23,Postpaid,VLV,4,5,125,9,1,0,,1,1,,1,0,1,
Mobily,AL JUBAIL,Eastern,Nationals,Male,25,Prepaid,VLV,5,3,100,8,0,0,,1,1,1,1,,0,
Mobily,AR RIYADH,Central,Expat Arabs,Male,37,Prepaid,VLV,3,4,75,10,1,1,,1,1,,1,,,1
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,35,Prepaid,LV,5,5,150,10,1,1,,1,0,,1,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,31,Prepaid,VLV,3,2,25,6,0,0,,1,0,,,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,40,Prepaid,VLV,2,1,-25,7,0,0,,1,1,,1,,,
Mobily,UNAYZAH,Central,Expat Arabs,Male,33,Postpaid,VHV,5,5,150,10,1,,,1,1,,1,1,1,1
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,32,Prepaid,LV,4,2,50,9,1,0,,0,1,0,0,0,0,
Mobily,AD DAMMAM,Eastern,Nationals,Male,42,Postpaid,VLV,4,3,75,8,0,0,,0,0,0,0,0,,
Mobily,JEDDAH,Western,Nationals,Male,26,Prepaid,LV,4,5,125,9,1,1,,1,1,1,1,1,1,0
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Prepaid,VLV,4,3,75,8,0,1,,0,0,1,0,0,,
