Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,JEDDAH,Western,Nationals,Female,23,Prepaid,LV,5,4,125,0,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Expat Asians,Male,35,Prepaid,VLV,5,5,150,5,7,,8,9,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Asians,Male,32,Prepaid,VLV,3,3,50,5,3,,,7,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,31,Postpaid,VHV,2,1,-25,5,4,,5,4,4,6,5,5,
Mobily,KHAMIS MUSHAYT,South,Expat Arabs,Male,16,Prepaid,HV,5,5,150,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,38,Postpaid,MV,5,4,125,9,9,,9,8,,9,,,
Mobily,AR RIYADH,Central,Nationals,Female,29,Postpaid,MV,4,4,100,,10,,10,9,,8,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,52,Prepaid,LV,4,4,100,8,8,,9,9,,9,,9,
Mobily,JEDDAH,Western,Nationals,Male,30,Prepaid,VLV,5,3,100,6,10,,7,3,7,9,,10,6
Mobily,AR RIYADH,Central,Nationals,Male,40,Postpaid,VHV,1,2,-25,2,2,,2,3,,5,1,,5
Mobily,Other,Others,Nationals,Female,24,Postpaid,VLV,4,3,75,5,5,,10,10,,9,5,,
Mobily,AR RIYADH,Central,Nationals,Female,26,Prepaid,VLV,5,5,150,10,10,,10,10,,10,10,,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,23,Prepaid,VLV,4,4,100,5,6,,8,7,,6,7,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,31,Prepaid,LV,3,2,25,3,0,,3,9,,0,5,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,39,Postpaid,VHV,5,5,150,5,10,,10,10,10,8,9,8,
Mobily,AT TAIF,Western,Nationals,Male,40,Prepaid,VLV,5,5,150,10,10,,10,10,10,10,10,10,
Mobily,Other,Others,Nationals,Male,33,Postpaid,LV,3,3,50,0,5,,5,3,,3,,,5
Mobily,Other,Others,Nationals,Male,50,Prepaid,MV,3,1,0,10,10,,10,2,10,8,10,10,5
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Postpaid,LV,5,5,150,8,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Expat Arabs,Female,25,Prepaid,VLV,4,5,125,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Asians,Male,31,Prepaid,VLV,5,4,125,10,10,,10,10,,10,10,,10
Mobily,AD DAMMAM,Eastern,Nationals,Female,28,Prepaid,LV,5,4,125,8,9,,9,7,,8,9,,7
Mobily,Other,Others,Nationals,Male,36,Prepaid,MV,3,3,50,6,6,,5,4,10,5,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,32,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,38,Prepaid,VLV,5,3,100,10,5,,10,10,10,10,,,
Mobily,JEDDAH,Western,Nationals,Female,24,Postpaid,VLV,4,4,100,10,10,,10,10,,9,,,
Mobily,AR RIYADH,Central,Nationals,Male,20,Postpaid,MV,5,5,150,10,10,,10,10,10,10,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,29,Prepaid,LV,5,5,150,8,8,10,8,8,8,8,8,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Female,43,Prepaid,VLV,4,5,125,2,10,,8,10,10,10,,7,
Mobily,Other,Others,Nationals,Male,26,Postpaid,VHV,2,3,25,10,10,,8,8,10,10,,,
Mobily,TABUK,Northern,Expat Arabs,Male,34,Prepaid,VLV,3,3,50,9,,,,10,10,10,,,
Mobily,JEDDAH,Western,Nationals,Male,26,Postpaid,VLV,4,3,75,5,10,,10,8,,7,10,10,
Mobily,Other,Others,Nationals,Male,30,Postpaid,HV,3,3,50,8,4,,8,6,9,6,3,7,3
Mobily,JEDDAH,Western,Nationals,Male,54,Prepaid,VLV,4,3,75,10,10,,,10,,0,,,
Mobily,BAYSH,South,Nationals,Female,40,Postpaid,MV,5,5,150,10,10,,10,10,,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,23,Prepaid,VLV,5,4,125,10,8,,5,10,,10,,,
Mobily,ABHA,South,Nationals,Male,33,Prepaid,VLV,3,3,50,2,0,,3,0,4,0,,,
Mobily,HAFAR AL BATIN,Eastern,Nationals,Male,27,Postpaid,VLV,5,5,150,10,10,,10,7,,10,7,,
Mobily,AR RIYADH,Central,Nationals,Male,40,Postpaid,VLV,3,2,25,0,0,,0,0,5,3,4,,
Mobily,BURAYDAH,Central,Expat Arabs,Male,40,Prepaid,VLV,3,5,100,10,10,,10,8,,8,,,
Mobily,Other,Others,Nationals,Male,20,Prepaid,VLV,5,1,50,8,8,,8,10,,9,,,
Mobily,AT TAIF,Western,Expat Arabs,Male,40,Prepaid,VLV,4,4,100,10,,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,39,Prepaid,VLV,4,3,75,10,10,,10,10,,3,,10,
Mobily,AR RIYADH,Central,Expat Arabs,Male,40,Prepaid,MV,4,4,100,1,7,,7,8,,5,,,
Mobily,Other,Others,Nationals,Male,27,Prepaid,LV,2,2,0,5,5,,7,2,,0,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,47,Prepaid,LV,5,,75,9,9,,10,8,10,8,2,9,
Mobily,AD DAMMAM,Eastern,Nationals,Male,35,Prepaid,VLV,5,5,150,10,10,,10,10,,10,10,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Female,26,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,50,Postpaid,LV,3,3,50,4,2,,2,2,,4,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,29,Prepaid,VLV,5,4,125,10,10,,10,10,9,10,,10,10
Mobily,Other,Others,Expat Arabs,Male,32,Prepaid,VLV,5,3,100,10,10,,10,10,,10,,,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,30,Prepaid,MV,4,4,100,10,10,,10,10,,10,,,10
Mobily,JEDDAH,Western,Nationals,Male,20,Prepaid,VLV,3,3,50,8,6,,6,10,8,10,,,10
Mobily,AL KHUBAR,Eastern,Nationals,Female,30,Prepaid,VLV,4,4,100,8,9,,9,9,,8,,,
Mobily,Other,Others,Nationals,Female,23,Prepaid,VLV,4,2,50,5,9,,8,6,,10,,,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,56,Prepaid,VLV,5,4,125,7,5,,10,8,,10,,,7
Mobily,YANBU AN NAKHL,Northern,Nationals,Male,25,Prepaid,LV,2,3,25,6,3,,0,0,,0,,,
Mobily,JEDDAH,Western,Expat Asians,Male,40,Prepaid,VLV,3,4,75,6,6,,4,3,,8,,,
Mobily,AT TAIF,Western,Nationals,Female,50,Prepaid,LV,5,4,125,10,10,,10,10,,10,,,
Mobily,Other,Others,Expat Arabs,Male,32,Prepaid,VLV,3,1,0,6,3,,5,4,,3,7,,
Mobily,Other,Others,Nationals,Male,43,Prepaid,VLV,4,3,75,8,6,,10,9,10,10,8,,
Mobily,JEDDAH,Western,Expat Arabs,Male,36,Prepaid,LV,4,3,75,8,10,,10,10,,5,,10,10
Mobily,AT TAIF,Western,Expat Arabs,Male,48,Prepaid,LV,4,4,100,10,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,58,Postpaid,MV,2,3,25,7,7,,8,9,,6,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Postpaid,LV,4,3,75,,10,,10,10,10,8,,,
Mobily,AL HUFUF,Eastern,Nationals,Male,38,Postpaid,LV,3,4,75,8,8,,8,10,8,9,8,8,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,34,Prepaid,VLV,2,2,0,7,5,,7,7,10,10,10,10,
Mobily,Other,Others,Expat Arabs,Male,35,Prepaid,VLV,5,4,125,9,9,,8,9,,10,,,
Mobily,AL KHUBAR,Eastern,Nationals,Male,38,Postpaid,MV,4,3,75,10,8,,10,10,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,28,Postpaid,VHV,5,5,150,,8,,7,10,,10,10,,
Mobily,BURAYDAH,Central,Nationals,Male,23,Postpaid,LV,1,3,0,10,10,,8,0,6,4,,,1
Mobily,AR RIYADH,Central,Expat Arabs,Male,33,Prepaid,VLV,4,3,75,4,3,,4,7,,3,3,3,1
Mobily,TABUK,Northern,Nationals,Female,43,Postpaid,HV,4,5,125,8,10,,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,55,Prepaid,VLV,3,3,50,7,,,,10,,,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,34,Postpaid,LV,5,5,150,5,10,,10,10,,10,,10,
Mobily,JIZAN,South,Nationals,Male,30,Prepaid,VLV,2,3,25,0,3,,7,9,,0,,,
Mobily,JEDDAH,Western,Nationals,Female,59,Postpaid,MV,4,3,75,8,10,,,10,,8,8,,
Mobily,TABUK,Northern,Expat Arabs,Male,35,Prepaid,VLV,5,5,150,10,10,,10,10,,10,10,10,10
Mobily,AR RIYADH,Central,Nationals,Male,31,Postpaid,VHV,5,3,100,10,8,,8,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,32,Postpaid,HV,2,3,25,3,0,,3,0,,3,5,,3
Mobily,HAIL,Northern,Expat Arabs,Male,40,Postpaid,VLV,4,5,125,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,50,Postpaid,LV,5,5,150,10,10,,10,10,10,10,10,10,
Mobily,JEDDAH,Western,Expat Arabs,Male,45,Prepaid,VLV,5,5,150,10,8,,7,10,,10,8,,
Mobily,AR RIYADH,Central,Nationals,Female,19,Prepaid,VLV,5,5,150,10,10,,10,10,10,10,10,10,
Mobily,AT TAIF,Western,Nationals,Male,35,Prepaid,LV,4,4,100,10,9,,9,9,10,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,30,Postpaid,VLV,4,2,50,7,6,,8,7,,7,7,8,
Mobily,JEDDAH,Western,Expat Arabs,Male,34,Prepaid,VLV,2,2,0,0,0,,0,10,,0,,1,1
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,27,Prepaid,LV,3,4,75,10,10,,10,10,,6,,,
Mobily,HAIL,Northern,Expat Arabs,Male,31,Prepaid,VLV,,4,50,9,10,,4,9,10,8,9,,
Mobily,AR RIYADH,Central,Nationals,Female,37,Postpaid,LV,4,4,100,8,8,,8,9,,7,9,7,
Mobily,Other,Others,Nationals,Female,35,Postpaid,MV,4,3,75,8,8,,8,8,,8,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,37,Prepaid,HV,3,1,0,,2,,,4,10,3,6,,
Mobily,KHAMIS MUSHAYT,South,Expat Arabs,Male,30,Prepaid,LV,5,5,150,10,10,,10,10,,10,,,
Mobily,YANBU AL BAHAR,Northern,Nationals,Female,51,Postpaid,LV,1,3,0,,10,,8,5,10,10,10,,
Mobily,AL HUFUF,Eastern,Nationals,Male,20,Prepaid,LV,5,5,150,10,10,,10,10,10,10,10,10,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,56,Prepaid,VLV,5,5,150,9,10,,10,5,10,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,51,Prepaid,LV,5,,75,7,9,,10,9,7,8,,7,7
Mobily,AD DAMMAM,Eastern,Nationals,Male,40,Postpaid,VLV,3,3,50,5,9,,10,7,,10,,9,
Mobily,JEDDAH,Western,Expat Arabs,Male,28,Postpaid,HV,,2,0,10,10,,5,3,10,10,5,,10
Mobily,JEDDAH,Western,Nationals,Male,40,Prepaid,VHV,3,2,25,8,6,,8,6,8,8,8,8,
Mobily,AR RIYADH,Central,Nationals,Male,37,Prepaid,VLV,3,2,25,7,5,,5,2,,4,6,7,7
Mobily,AD DAMMAM,Eastern,Nationals,Male,32,Prepaid,VLV,3,3,50,9,3,,4,3,,6,5,,5
Mobily,AR RIYADH,Central,Nationals,Male,60,Prepaid,VLV,5,5,150,8,10,,8,9,,9,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,43,Prepaid,VHV,5,5,150,10,0,,10,6,10,10,,,
Mobily,YANBU AN NAKHL,Northern,Nationals,Male,25,Postpaid,HV,4,3,75,6,10,,10,10,,10,10,10,
Mobily,TABUK,Northern,Expat Arabs,Male,35,Postpaid,VHV,3,3,50,,3,,5,0,8,10,,,7
Mobily,JEDDAH,Western,Nationals,Male,60,Postpaid,VHV,5,5,150,10,10,,10,10,,10,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,24,Prepaid,VLV,3,3,50,7,4,,5,4,,5,,,
Mobily,JEDDAH,Western,Nationals,Female,22,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,10,10
Mobily,Other,Others,Expat Asians,Male,48,Prepaid,VLV,4,4,100,8,6,8,,7,7,9,,,
Mobily,AR RIYADH,Central,Nationals,Male,39,Postpaid,VLV,5,5,150,7,10,,7,8,,10,,8,
Mobily,AL KHUBAR,Eastern,Nationals,Male,39,Postpaid,LV,,1,-25,8,0,,,3,0,7,,,7
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,39,Postpaid,VLV,1,1,-50,2,0,,1,0,,0,2,1,
Mobily,AR RIYADH,Central,Nationals,Male,26,Postpaid,HV,5,5,150,7,10,,3,8,,8,,,
Mobily,AL KHUBAR,Eastern,Nationals,Female,16,Postpaid,VLV,4,3,75,6,10,,7,4,,0,,10,2
Mobily,Other,Others,Nationals,Male,34,Postpaid,LV,4,3,75,7,8,,8,4,,7,,,
Mobily,AD DAMMAM,Eastern,Nationals,Male,65,Postpaid,MV,5,5,150,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,53,Postpaid,LV,5,5,150,10,8,,10,10,,10,,10,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,60,Postpaid,LV,5,5,150,10,,,10,10,10,10,10,10,
Mobily,AL KHUBAR,Eastern,Nationals,Male,21,Prepaid,VLV,4,4,100,9,10,,10,10,,10,,,10
Mobily,AR RIYADH,Central,Expat Asians,Male,26,Prepaid,VLV,5,5,150,10,10,,10,10,10,10,10,10,
Mobily,AR RIYADH,Central,Nationals,Male,34,Prepaid,VLV,1,1,-50,,8,,6,6,,3,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Female,40,Prepaid,VLV,5,4,125,10,5,,7,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,25,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,10,10
Mobily,AD DAMMAM,Eastern,Expat Asians,Male,44,Postpaid,VHV,4,3,75,,5,,,10,,10,,,
Mobily,AL JUBAIL,Eastern,Expat Asians,Male,54,Postpaid,VLV,4,4,100,9,8,,10,8,,10,,10,10
Mobily,AT TAIF,Western,Nationals,Male,30,Prepaid,VLV,1,1,-50,1,2,,5,0,0,0,,6,
Mobily,AR RIYADH,Central,Expat Arabs,Male,27,Prepaid,VLV,5,5,150,9,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,32,Postpaid,LV,1,1,-50,0,0,,10,0,,10,,,
Mobily,YANBU AN NAKHL,Northern,Expat Arabs,Male,25,Prepaid,LV,5,3,100,10,10,,10,10,10,10,,,
Mobily,AD DAMMAM,Eastern,Nationals,Male,60,Postpaid,LV,1,4,25,7,8,,7,7,,6,,8,
Mobily,AL QATIF,Eastern,Nationals,Male,21,Prepaid,LV,5,5,150,10,10,,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,36,Prepaid,MV,5,5,150,10,10,,10,10,,10,,10,
Mobily,AL JUBAIL,Eastern,Expat Arabs,Male,30,Prepaid,VLV,3,2,25,10,10,,10,10,10,10,,,
Mobily,AL JUBAIL,Eastern,Nationals,Male,28,Postpaid,VLV,1,3,0,5,5,,,0,,10,,,
Mobily,Other,Others,Nationals,Male,40,Prepaid,VLV,2,2,0,10,10,,10,2,8,8,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,29,Prepaid,LV,5,5,150,10,10,,10,10,10,10,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,28,Prepaid,VLV,5,,75,10,10,,10,10,,10,,,
Mobily,AL KHUBAR,Eastern,Nationals,Female,24,Postpaid,VLV,5,2,75,8,7,,8,6,,8,8,,8
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Prepaid,VLV,5,5,150,10,10,9,10,10,10,10,10,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,38,Prepaid,VLV,4,2,50,5,8,,7,8,,4,7,8,5
Mobily,JEDDAH,Western,Expat Arabs,Male,32,Postpaid,MV,4,3,75,8,8,,7,7,,7,,8,
Mobily,HAIL,Northern,Expat Arabs,Male,43,Postpaid,LV,5,5,150,10,10,,10,10,10,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Prepaid,VLV,4,4,100,8,10,9,10,10,8,9,9,9,
Mobily,AD DAMMAM,Eastern,Nationals,Male,21,Postpaid,LV,4,3,75,10,8,,10,10,10,7,8,10,
Mobily,JEDDAH,Western,Nationals,Female,20,Prepaid,VLV,5,5,150,8,8,,10,10,,8,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,28,Postpaid,LV,5,5,150,8,10,,10,10,,10,10,10,
Mobily,AD DAMMAM,Eastern,Nationals,Female,25,Postpaid,LV,5,5,150,10,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Nationals,Male,32,Prepaid,LV,4,3,75,8,9,,10,8,9,8,,,
Mobily,HAFAR AL BATIN,Eastern,Nationals,Male,38,Prepaid,VLV,3,2,25,5,5,,3,7,,3,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,45,Postpaid,VHV,5,4,125,10,10,,10,5,,10,,10,
Mobily,JEDDAH,Western,Nationals,Female,24,Postpaid,LV,4,1,25,7,8,,7,7,9,8,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,47,Prepaid,VLV,4,4,100,10,4,,8,9,,,,,
Mobily,AR RIYADH,Central,Expat Arabs,Female,38,Postpaid,VLV,5,,75,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,34,Prepaid,LV,3,3,50,4,6,,5,6,,5,,,
Mobily,AR RIYADH,Central,Nationals,Female,40,Prepaid,LV,5,3,100,10,10,,10,10,,10,,,
Mobily,AT TAIF,Western,Expat Arabs,Male,33,Prepaid,MV,3,3,50,1,3,,7,5,,8,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,26,Prepaid,VLV,5,5,150,9,10,,8,5,,7,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Female,40,Prepaid,VLV,4,3,75,7,6,,7,8,,9,7,8,8
Mobily,AR RIYADH,Central,Expat Arabs,Male,57,Prepaid,VLV,2,2,0,,7,,7,7,,7,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,37,Prepaid,VLV,5,3,100,10,10,,10,10,,10,7,10,
Mobily,JEDDAH,Western,Expat Arabs,Male,45,Prepaid,MV,5,5,150,10,10,,10,10,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,64,Postpaid,MV,4,2,50,5,,,10,10,,5,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,39,Prepaid,VLV,5,4,125,1,9,,9,9,,9,8,7,
Mobily,TABUK,Northern,Nationals,Male,40,Prepaid,VLV,2,2,0,5,5,,3,9,,6,,,
Mobily,JEDDAH,Western,Nationals,Male,38,Postpaid,VLV,5,4,125,6,1,5,5,8,10,10,,,
Mobily,Other,Others,Nationals,Female,27,Postpaid,MV,4,3,75,10,10,,8,10,,8,9,,
Mobily,AR RIYADH,Central,Nationals,Male,34,Postpaid,HV,4,4,100,10,10,,10,10,10,10,10,10,
Mobily,AR RIYADH,Central,Expat Arabs,Male,50,Postpaid,VLV,3,3,50,0,0,,5,8,,8,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,23,Prepaid,VLV,4,2,50,10,10,,10,10,10,8,,,
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,26,Prepaid,LV,4,3,75,10,9,,7,9,,9,,,
Mobily,BURAYDAH,Central,Nationals,Male,30,Postpaid,HV,3,3,50,7,6,,8,10,,8,,,
Mobily,Other,Others,Nationals,Male,22,Postpaid,VHV,3,3,50,9,0,,6,5,,7,,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,36,Prepaid,VLV,4,4,100,8,10,,10,10,,,,,
Mobily,Other,Others,Nationals,Male,63,Postpaid,VHV,5,5,150,10,10,,10,10,10,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,28,Prepaid,VLV,5,3,100,0,10,10,7,9,10,10,,,
Mobily,JEDDAH,Western,Nationals,Male,24,Prepaid,VLV,3,4,75,5,2,,6,7,10,0,,1,
Mobily,Other,Others,Nationals,Female,40,Postpaid,MV,3,3,50,10,6,,10,5,,10,,,
Mobily,NAJRAN,South,Expat Arabs,Male,25,Prepaid,VLV,3,3,50,10,7,,5,0,6,6,,,7
Mobily,BAYSH,South,Expat Arabs,Male,40,Prepaid,MV,5,5,150,10,10,,10,10,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,32,Postpaid,VLV,5,5,150,10,10,,10,10,,10,10,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,29,Prepaid,VLV,2,3,25,6,8,,10,10,10,9,,10,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,22,Prepaid,VLV,5,5,150,5,10,,10,8,10,10,6,8,10
Mobily,AR RIYADH,Central,Nationals,Female,26,Postpaid,VLV,5,5,150,9,10,,10,10,,10,,,10
Mobily,Other,Others,Nationals,Male,34,Prepaid,VLV,4,2,50,10,7,,10,6,,8,7,,
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Prepaid,LV,5,5,150,10,10,,10,10,,10,10,,
Mobily,BURAYDAH,Central,Nationals,Male,39,Postpaid,LV,3,1,0,4,6,,,6,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,21,Postpaid,LV,3,5,100,6,10,,10,3,,10,,10,
Mobily,JEDDAH,Western,Nationals,Female,30,Prepaid,VLV,4,1,25,10,10,,10,8,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Female,34,Prepaid,VLV,4,5,125,9,8,,8,10,8,8,,,
Mobily,AR RIYADH,Central,Nationals,Female,41,Prepaid,VLV,5,5,150,10,10,,10,10,10,10,10,,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,50,Postpaid,VHV,5,5,150,10,10,,8,10,10,8,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,45,Prepaid,VLV,3,3,50,7,7,,7,6,,7,7,,
Mobily,AL KHUBAR,Eastern,Nationals,Male,38,Postpaid,VHV,3,1,0,1,1,,1,6,,3,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,26,Postpaid,HV,4,4,100,7,8,,0,10,10,10,8,8,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,35,Prepaid,LV,5,4,125,0,10,,10,10,10,3,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,33,Prepaid,HV,4,4,100,10,10,,10,10,,10,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Female,36,Postpaid,VHV,4,3,75,10,8,,8,,,10,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,43,Prepaid,LV,3,1,0,8,8,,8,7,,10,,,
Mobily,SAKAKA,Northern,Nationals,Male,26,Prepaid,VLV,5,5,150,0,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,29,Prepaid,VLV,5,4,125,9,9,,8,9,,10,,,10
Mobily,AL BUKAYRIYAH,Central,Expat Arabs,Male,30,Prepaid,VLV,2,5,75,10,10,,5,7,10,7,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,24,Postpaid,VHV,5,5,150,8,10,,10,10,10,10,10,10,
Mobily,JEDDAH,Western,Expat Arabs,Female,34,Postpaid,VLV,1,2,-25,0,6,,10,10,10,5,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,VHV,3,4,75,8,9,9,9,7,9,8,5,7,
Mobily,AR RIYADH,Central,Nationals,Male,30,Postpaid,VHV,3,3,50,6,5,,5,5,5,0,5,5,5
Mobily,AR RIYADH,Central,Expat Arabs,Male,52,Prepaid,VLV,3,4,75,10,7,,5,10,,10,,,
Mobily,AL KHUBAR,Eastern,Nationals,Male,23,Postpaid,VLV,4,5,125,9,8,,10,10,,10,5,10,
Mobily,AL JUBAIL,Eastern,Nationals,Male,25,Prepaid,VLV,5,3,100,8,8,,10,10,10,10,,7,
Mobily,AR RIYADH,Central,Expat Arabs,Male,37,Prepaid,VLV,3,4,75,10,10,,10,10,,10,,,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,35,Prepaid,LV,5,5,150,10,10,,10,8,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,31,Prepaid,VLV,3,2,25,6,7,,10,7,,,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,40,Prepaid,VLV,2,1,-25,7,6,,10,10,,10,,,
Mobily,UNAYZAH,Central,Expat Arabs,Male,33,Postpaid,VHV,5,5,150,10,,,10,10,,10,10,10,10
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,32,Prepaid,LV,4,2,50,9,8,,7,10,8,7,5,8,
Mobily,AD DAMMAM,Eastern,Nationals,Male,42,Postpaid,VLV,4,3,75,8,8,,7,8,5,6,7,,
Mobily,JEDDAH,Western,Nationals,Male,26,Prepaid,LV,4,5,125,9,10,,10,10,10,9,10,10,8
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Prepaid,VLV,4,3,75,8,9,,8,7,9,7,8,,
Mobily,TABUK,Northern,Expat Arabs,Male,41,Prepaid,LV,5,4,125,,,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Female,30,Prepaid,HV,4,5,125,10,10,,10,10,,10,,,
Mobily,AL QATIF,Eastern,Nationals,Female,21,Postpaid,LV,2,4,50,7,8,,8,7,,7,,9,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,50,Prepaid,HV,5,5,150,9,10,,10,10,10,10,10,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,36,Prepaid,VLV,5,5,150,10,10,,10,10,10,10,,,10
Mobily,AD DAMMAM,Eastern,Nationals,Male,70,Postpaid,VLV,4,5,125,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Prepaid,VLV,5,5,150,9,10,,10,10,,9,,,
Mobily,AR RIYADH,Central,Nationals,Female,26,Prepaid,VLV,5,3,100,8,6,,5,9,,8,5,,7
Mobily,AL KHUBAR,Eastern,Nationals,Male,38,Postpaid,VHV,4,4,100,7,7,,8,7,,8,,,
Mobily,Other,Others,Nationals,Male,22,Prepaid,VLV,4,3,75,7,8,,6,8,,8,8,10,7
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,39,Postpaid,VHV,5,5,150,10,10,,10,10,10,10,10,,10
