Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,JEDDAH,Western,Expat Arabs,Male,25,Prepaid,VLV,4,4,100,8,7,,4,6,,4,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,28,Prepaid,LV,4,5,125,10,10,,10,10,10,10,,,
Mobily,Other,Others,Nationals,Male,77,Prepaid,VLV,2,5,75,,10,,,10,,10,,,
Mobily,Other,Others,Nationals,Male,24,Prepaid,LV,3,1,0,10,10,,10,0,,0,,10,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,37,Prepaid,LV,5,4,125,10,10,,10,8,10,7,9,8,
Mobily,AR RIYADH,Central,Nationals,Female,27,Postpaid,HV,4,3,75,7,7,,8,9,,7,,,
Mobily,AR RIYADH,Central,Nationals,Female,31,Prepaid,VLV,4,1,25,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Female,35,Postpaid,HV,4,3,75,10,7,,7,7,10,10,5,,7
Mobily,JEDDAH,Western,Expat Arabs,Male,32,Prepaid,LV,5,4,125,8,5,10,9,10,8,8,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,LV,2,3,25,7,4,,7,5,9,1,4,10,
Mobily,TABUK,Northern,Nationals,Female,29,Prepaid,VLV,4,3,75,10,10,,10,10,,,,,
Mobily,Other,Others,Nationals,Female,34,Postpaid,VHV,3,3,50,5,5,,7,7,,5,,,
Mobily,JEDDAH,Western,Expat Asians,Male,25,Prepaid,VLV,5,4,125,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Female,26,Postpaid,MV,4,3,75,10,10,,10,10,,10,,,10
Mobily,AD DAMMAM,Eastern,Expat Asians,Male,21,Prepaid,VLV,5,5,150,7,6,,7,3,,10,,,1
Mobily,AR RIYADH,Central,Nationals,Male,38,Prepaid,LV,1,3,0,6,4,,6,5,0,0,,,
Mobily,KHAMIS MUSHAYT,South,Expat Arabs,Male,52,Postpaid,LV,4,3,75,,,,7,9,,8,8,,
Mobily,JEDDAH,Western,Nationals,Female,23,Postpaid,HV,4,4,100,10,10,,10,5,,10,10,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,24,Postpaid,VLV,5,5,150,10,10,,10,10,8,8,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,27,Postpaid,VLV,5,5,150,10,10,,10,10,,9,,,
Mobily,JEDDAH,Western,Nationals,Male,30,Postpaid,VHV,5,4,125,8,10,10,10,10,10,10,10,,
Mobily,JEDDAH,Western,Expat Arabs,Male,30,Prepaid,MV,5,5,150,9,10,,10,10,10,8,10,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,30,Prepaid,VLV,3,3,50,4,6,,6,6,,8,,,
Mobily,AL QATIF,Eastern,Nationals,Female,22,Prepaid,VLV,4,5,125,10,8,,8,8,8,8,10,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Asians,Male,45,Prepaid,LV,4,4,100,5,3,,8,10,10,10,,,
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,57,Postpaid,LV,4,4,100,8,7,,8,8,10,9,,,
Mobily,Other,Others,Nationals,Female,29,Postpaid,VLV,5,5,150,10,10,,10,10,,10,10,,10
Mobily,Other,Others,Nationals,Male,25,Postpaid,VLV,3,,25,8,8,,9,4,10,7,,10,
Mobily,AR RIYADH,Central,Nationals,Male,28,Prepaid,VLV,5,4,125,10,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Nationals,Male,25,Prepaid,LV,4,4,100,5,6,,6,8,,6,,,8
Mobily,JEDDAH,Western,Nationals,Female,25,Prepaid,VLV,2,2,0,5,4,,10,10,,10,,,
Mobily,Other,Others,Nationals,Female,24,Postpaid,VLV,4,3,75,10,10,,9,8,,10,,10,
Mobily,JEDDAH,Western,Expat Arabs,Male,47,Prepaid,VLV,5,5,150,10,10,,10,10,10,10,10,10,
Mobily,JEDDAH,Western,Expat Arabs,Male,46,Prepaid,VLV,3,1,0,5,7,,6,7,8,4,,9,
Mobily,AT TAIF,Western,Expat Asians,Male,32,Prepaid,VLV,5,5,150,9,10,,10,10,,10,10,,
Mobily,AD DAMMAM,Eastern,Expat Asians,Male,31,Postpaid,LV,3,3,50,10,10,,10,9,,5,,10,
Mobily,JEDDAH,Western,Expat Asians,Male,51,Postpaid,LV,2,2,0,4,4,,4,3,4,4,4,,
Mobily,JEDDAH,Western,Nationals,Male,35,Postpaid,HV,4,4,100,10,10,10,10,9,10,10,10,10,
Mobily,JEDDAH,Western,Expat Asians,Male,30,Prepaid,VLV,4,4,100,10,10,,10,10,,10,10,10,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,40,Postpaid,LV,5,3,100,,8,,10,10,,10,,,
Mobily,Other,Others,Nationals,Male,30,Postpaid,VHV,4,3,75,10,5,,10,6,10,10,10,5,
Mobily,Other,Others,Nationals,Female,52,Prepaid,VLV,3,3,50,3,4,,5,6,,,,,
Mobily,AL JUBAIL,Eastern,Nationals,Male,30,Prepaid,LV,3,1,0,5,5,,5,8,,10,,,
Mobily,HAIL,Northern,Nationals,Male,22,Prepaid,VHV,3,3,50,5,10,,10,4,,8,8,7,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Female,40,Postpaid,LV,5,5,150,10,10,,10,8,10,10,10,,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,47,Postpaid,VHV,4,3,75,7,5,,8,5,,8,,8,
Mobily,AL JUBAIL,Eastern,Nationals,Male,45,Postpaid,VLV,4,3,75,7,5,,,8,8,7,7,5,
Mobily,JEDDAH,Western,Nationals,Male,24,Prepaid,LV,5,4,125,10,10,,10,10,,10,10,,
Mobily,Other,Others,Nationals,Female,30,Prepaid,VHV,5,5,150,10,10,,10,10,,10,,,
Mobily,Other,Others,Nationals,Male,27,Postpaid,MV,5,5,150,10,6,,8,8,10,8,5,7,
Mobily,JEDDAH,Western,Expat Asians,Male,32,Prepaid,LV,5,5,150,10,10,,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,35,Postpaid,VLV,3,3,50,8,,,,7,,10,,,
Mobily,ABHA,South,Nationals,Female,30,Prepaid,LV,4,5,125,10,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Expat Arabs,Female,19,Postpaid,VLV,5,5,150,10,9,,10,10,,8,,,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,29,Postpaid,HV,4,4,100,10,10,,10,10,8,10,,10,
Mobily,AR RIYADH,Central,Nationals,Female,18,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,AL QATIF,Eastern,Nationals,Male,23,Prepaid,VLV,3,2,25,0,6,,6,6,,6,,,
Mobily,AR RIYADH,Central,Nationals,Female,15,Postpaid,VHV,4,5,125,1,10,,10,9,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,50,Postpaid,MV,5,5,150,10,10,,10,10,10,10,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,33,Postpaid,VHV,5,5,150,7,7,,10,8,,10,10,10,
Mobily,Other,Others,Nationals,Female,32,Postpaid,LV,3,5,100,10,10,,10,10,,10,,,
Mobily,KHAMIS MUSHAYT,South,Expat Asians,Male,34,Prepaid,LV,5,5,150,10,10,,10,10,,10,,,
Mobily,AR RIYADH,Central,Nationals,Male,35,Postpaid,VHV,1,1,-50,0,0,,0,0,,0,1,1,
Mobily,AD DAMMAM,Eastern,Nationals,Female,33,Postpaid,HV,5,4,125,10,10,,10,10,10,10,10,10,
Mobily,AR RIYADH,Central,Nationals,Male,34,Postpaid,VHV,4,3,75,7,9,,8,8,6,8,7,10,
Mobily,Other,Others,Expat Arabs,Male,32,Postpaid,LV,5,5,150,10,10,,10,10,10,10,10,,10
Mobily,Other,Others,Nationals,Female,26,Prepaid,LV,2,3,25,5,5,,8,5,8,5,,8,
Mobily,AR RIYADH,Central,Expat Arabs,Male,38,Postpaid,HV,2,2,0,8,10,,7,4,10,10,8,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,34,Postpaid,VLV,3,3,50,5,5,,5,5,,5,8,,
Mobily,Other,Others,Nationals,Male,39,Postpaid,HV,1,3,0,3,7,,9,10,,10,10,10,
Mobily,JEDDAH,Western,Nationals,Male,23,Postpaid,HV,3,3,50,10,7,,10,5,10,10,,10,
Mobily,Other,Others,Nationals,Male,36,Postpaid,VHV,3,5,100,1,4,,6,6,6,7,7,7,1
Mobily,AR RIYADH,Central,Nationals,Male,27,Prepaid,LV,4,4,100,10,10,,8,8,,7,7,,
Mobily,AD DAMMAM,Eastern,Nationals,Male,40,Prepaid,LV,3,3,50,0,5,,9,5,,3,,,
Mobily,AR RIYADH,Central,Nationals,Female,20,Postpaid,VLV,5,5,150,7,7,,10,10,,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,30,Prepaid,LV,5,5,150,10,7,,10,10,10,9,,5,
Mobily,AL HUFUF,Eastern,Nationals,Male,36,Postpaid,HV,5,5,150,10,10,,10,10,10,10,,10,
Mobily,Other,Others,Expat Arabs,Male,33,Prepaid,LV,4,5,125,10,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Nationals,Male,30,Prepaid,VLV,4,4,100,,10,,10,10,,5,,,
Mobily,Other,Others,Nationals,Male,55,Prepaid,VLV,5,4,125,10,10,,7,10,10,,,,
Mobily,JEDDAH,Western,Nationals,Male,51,Prepaid,LV,2,5,75,10,10,,10,10,,10,,,
Mobily,Other,Others,Nationals,Male,32,Postpaid,MV,2,2,0,5,6,,5,5,,5,9,5,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,25,Prepaid,VLV,5,5,150,10,10,,10,10,,8,10,10,
